,ActivityIdentifier,Dissolved oxygen (DO),Nitrate,"Temperature, water",Turbidity,pH,ProjectIdentifier,ActivityStartDate,LongitudeMeasure,LatitudeMeasure,Year,Month,Day,Weekday,Hour,Previous_DO,Previous_Temp,Previous_Turb,Previous_pH,DO_lag1,Temp_lag1,Turb_lag1,pH_lag1,Predicted_DO(1 day into the future)
158,11NPSWRD_WQX-GOGA_CCSF_OM09_19890307_1433866,10.2,1.0,10.2,4.9399999999999995,7.54,GOGA0003,1989-03-07,-122.521677,37.772495,1989,3,7,1,0,10.3,10.3,4.9399999999999995,7.53,10.3,10.3,4.9399999999999995,7.53,10.200000000000019
159,11NPSWRD_WQX-GOGA_CCSF_OM09_19890307_1433867,10.2,1.0,10.2,4.9399999999999995,7.54,GOGA0003,1989-03-07,-122.521677,37.772495,1989,3,7,1,0,10.2,10.2,4.9399999999999995,7.54,10.2,10.2,4.9399999999999995,7.54,10.200000000000019
160,11NPSWRD_WQX-GOGA_CCSF_OM09_19890405_1433870,12.1,1.0,12.1,4.9399999999999995,7.49,GOGA0003,1989-04-05,-122.521677,37.772495,1989,4,5,2,0,10.2,10.2,4.9399999999999995,7.54,10.2,10.2,4.9399999999999995,7.54,12.1
161,11NPSWRD_WQX-GOGA_CCSF_OM09_19890405_1433872,11.5,1.0,11.5,4.9399999999999995,7.49,GOGA0003,1989-04-05,-122.521677,37.772495,1989,4,5,2,0,12.1,12.1,4.9399999999999995,7.49,12.1,12.1,4.9399999999999995,7.49,11.5
162,11NPSWRD_WQX-GOGA_CCSF_OM09_19890405_1433874,11.4,1.0,11.4,4.9399999999999995,7.48,GOGA0003,1989-04-05,-122.521677,37.772495,1989,4,5,2,0,11.5,11.5,4.9399999999999995,7.49,11.5,11.5,4.9399999999999995,7.49,11.399999999999995
163,11NPSWRD_WQX-GOGA_CCSF_OM09_19890405_1433875,10.8,1.0,10.8,4.9399999999999995,7.44,GOGA0003,1989-04-05,-122.521677,37.772495,1989,4,5,2,0,11.4,11.4,4.9399999999999995,7.48,11.4,11.4,4.9399999999999995,7.48,10.79999999999998
164,11NPSWRD_WQX-GOGA_CCSF_OM09_19890405_1433877,10.5,1.0,10.5,4.9399999999999995,7.41,GOGA0003,1989-04-05,-122.521677,37.772495,1989,4,5,2,0,10.8,10.8,4.9399999999999995,7.44,10.8,10.8,4.9399999999999995,7.44,10.5
165,11NPSWRD_WQX-GOGA_CCSF_OM09_19890405_1433879,10.4,1.0,10.4,4.9399999999999995,7.37,GOGA0003,1989-04-05,-122.521677,37.772495,1989,4,5,2,0,10.5,10.5,4.9399999999999995,7.41,10.5,10.5,4.9399999999999995,7.41,10.399999999999986
166,11NPSWRD_WQX-GOGA_CCSF_OM09_19890405_1433880,10.4,1.0,10.4,4.9399999999999995,7.35,GOGA0003,1989-04-05,-122.521677,37.772495,1989,4,5,2,0,10.4,10.4,4.9399999999999995,7.37,10.4,10.4,4.9399999999999995,7.37,10.399999999999986
167,11NPSWRD_WQX-GOGA_CCSF_OM09_19890502_1433883,13.4,1.0,13.4,4.9399999999999995,7.86,GOGA0003,1989-05-02,-122.521677,37.772495,1989,5,2,1,0,10.4,10.4,4.9399999999999995,7.35,10.4,10.4,4.9399999999999995,7.35,13.40000000000001
168,11NPSWRD_WQX-GOGA_CCSF_OM09_19890502_1433885,13.5,1.0,13.5,4.9399999999999995,7.87,GOGA0003,1989-05-02,-122.521677,37.772495,1989,5,2,1,0,13.4,13.4,4.9399999999999995,7.86,13.4,13.4,4.9399999999999995,7.86,13.5
169,11NPSWRD_WQX-GOGA_CCSF_OM09_19890502_1433887,13.3,1.0,13.3,4.9399999999999995,7.87,GOGA0003,1989-05-02,-122.521677,37.772495,1989,5,2,1,0,13.5,13.5,4.9399999999999995,7.87,13.5,13.5,4.9399999999999995,7.87,13.299999999999976
170,11NPSWRD_WQX-GOGA_CCSF_OM09_19890502_1433888,13.1,1.0,13.1,4.9399999999999995,7.85,GOGA0003,1989-05-02,-122.521677,37.772495,1989,5,2,1,0,13.3,13.3,4.9399999999999995,7.87,13.3,13.3,4.9399999999999995,7.87,13.099999999999993
171,11NPSWRD_WQX-GOGA_CCSF_OM09_19890502_1433890,13.0,1.0,13.0,4.9399999999999995,7.86,GOGA0003,1989-05-02,-122.521677,37.772495,1989,5,2,1,0,13.1,13.1,4.9399999999999995,7.85,13.1,13.1,4.9399999999999995,7.85,13.0
172,11NPSWRD_WQX-GOGA_CCSF_OM09_19890502_1433892,13.1,1.0,13.1,4.9399999999999995,7.86,GOGA0003,1989-05-02,-122.521677,37.772495,1989,5,2,1,0,13.0,13.0,4.9399999999999995,7.86,13.0,13.0,4.9399999999999995,7.86,13.099999999999993
173,11NPSWRD_WQX-GOGA_CCSF_OM09_19890627_1433894,13.1,1.0,13.1,4.9399999999999995,7.58,GOGA0003,1989-06-27,-122.521677,37.772495,1989,6,27,1,0,13.1,13.1,4.9399999999999995,7.86,13.1,13.1,4.9399999999999995,7.86,13.099999999999993
174,11NPSWRD_WQX-GOGA_CCSF_OM09_19890627_1433896,13.1,1.0,13.1,4.9399999999999995,7.58,GOGA0003,1989-06-27,-122.521677,37.772495,1989,6,27,1,0,13.1,13.1,4.9399999999999995,7.58,13.1,13.1,4.9399999999999995,7.58,13.099999999999993
175,11NPSWRD_WQX-GOGA_CCSF_OM09_19890627_1433898,13.1,1.0,13.1,4.9399999999999995,7.6,GOGA0003,1989-06-27,-122.521677,37.772495,1989,6,27,1,0,13.1,13.1,4.9399999999999995,7.58,13.1,13.1,4.9399999999999995,7.58,13.099999999999993
176,11NPSWRD_WQX-GOGA_CCSF_OM09_19890627_1433899,13.1,1.0,13.1,4.9399999999999995,7.61,GOGA0003,1989-06-27,-122.521677,37.772495,1989,6,27,1,0,13.1,13.1,4.9399999999999995,7.6,13.1,13.1,4.9399999999999995,7.6,13.099999999999993
177,11NPSWRD_WQX-GOGA_CCSF_OM09_19890627_1433901,13.2,1.0,13.2,4.9399999999999995,7.62,GOGA0003,1989-06-27,-122.521677,37.772495,1989,6,27,1,0,13.1,13.1,4.9399999999999995,7.61,13.1,13.1,4.9399999999999995,7.61,13.200000000000024
178,11NPSWRD_WQX-GOGA_CCSF_OM09_19890627_1433903,13.2,1.0,13.2,4.9399999999999995,7.62,GOGA0003,1989-06-27,-122.521677,37.772495,1989,6,27,1,0,13.2,13.2,4.9399999999999995,7.62,13.2,13.2,4.9399999999999995,7.62,13.200000000000024
179,11NPSWRD_WQX-GOGA_CCSF_OM09_19890627_1433904,13.2,1.0,13.2,4.9399999999999995,7.62,GOGA0003,1989-06-27,-122.521677,37.772495,1989,6,27,1,0,13.2,13.2,4.9399999999999995,7.62,13.2,13.2,4.9399999999999995,7.62,13.200000000000024
180,11NPSWRD_WQX-GOGA_CCSF_OM09_19890712_1433907,12.9,1.0,12.9,4.9399999999999995,7.52,GOGA0003,1989-07-12,-122.521677,37.772495,1989,7,12,2,0,13.2,13.2,4.9399999999999995,7.62,13.2,13.2,4.9399999999999995,7.62,12.900000000000004
181,11NPSWRD_WQX-GOGA_CCSF_OM09_19890712_1433909,12.9,1.0,12.9,4.9399999999999995,7.51,GOGA0003,1989-07-12,-122.521677,37.772495,1989,7,12,2,0,12.9,12.9,4.9399999999999995,7.52,12.9,12.9,4.9399999999999995,7.52,12.900000000000004
182,11NPSWRD_WQX-GOGA_CCSF_OM09_19890712_1433911,12.8,1.0,12.8,4.9399999999999995,7.52,GOGA0003,1989-07-12,-122.521677,37.772495,1989,7,12,2,0,12.9,12.9,4.9399999999999995,7.51,12.9,12.9,4.9399999999999995,7.51,12.799999999999978
183,11NPSWRD_WQX-GOGA_CCSF_OM09_19890712_1433912,12.8,1.0,12.8,4.9399999999999995,7.52,GOGA0003,1989-07-12,-122.521677,37.772495,1989,7,12,2,0,12.8,12.8,4.9399999999999995,7.52,12.8,12.8,4.9399999999999995,7.52,12.799999999999978
184,11NPSWRD_WQX-GOGA_CCSF_OM09_19890712_1433914,12.9,1.0,12.9,4.9399999999999995,7.52,GOGA0003,1989-07-12,-122.521677,37.772495,1989,7,12,2,0,12.8,12.8,4.9399999999999995,7.52,12.8,12.8,4.9399999999999995,7.52,12.900000000000004
185,11NPSWRD_WQX-GOGA_CCSF_OM09_19890712_1433916,12.9,1.0,12.9,4.9399999999999995,7.52,GOGA0003,1989-07-12,-122.521677,37.772495,1989,7,12,2,0,12.9,12.9,4.9399999999999995,7.52,12.9,12.9,4.9399999999999995,7.52,12.900000000000004
186,11NPSWRD_WQX-GOGA_CCSF_OM09_19890808_1433919,14.6,1.0,14.6,4.9399999999999995,7.6,GOGA0003,1989-08-08,-122.521677,37.772495,1989,8,8,1,0,12.9,12.9,4.9399999999999995,7.52,12.9,12.9,4.9399999999999995,7.52,14.599999999999984
187,11NPSWRD_WQX-GOGA_CCSF_OM09_19890808_1433921,14.7,1.0,14.7,4.9399999999999995,7.58,GOGA0003,1989-08-08,-122.521677,37.772495,1989,8,8,1,0,14.6,14.6,4.9399999999999995,7.6,14.6,14.6,4.9399999999999995,7.6,14.700000000000028
188,11NPSWRD_WQX-GOGA_CCSF_OM09_19890808_1433923,14.7,1.0,14.7,4.9399999999999995,7.57,GOGA0003,1989-08-08,-122.521677,37.772495,1989,8,8,1,0,14.7,14.7,4.9399999999999995,7.58,14.7,14.7,4.9399999999999995,7.58,14.700000000000028
189,11NPSWRD_WQX-GOGA_CCSF_OM09_19890808_1433924,14.4,1.0,14.4,4.9399999999999995,7.68,GOGA0003,1989-08-08,-122.521677,37.772495,1989,8,8,1,0,14.7,14.7,4.9399999999999995,7.57,14.7,14.7,4.9399999999999995,7.57,14.400000000000013
190,11NPSWRD_WQX-GOGA_CCSF_OM09_19890808_1433926,14.2,1.0,14.2,4.9399999999999995,7.82,GOGA0003,1989-08-08,-122.521677,37.772495,1989,8,8,1,0,14.4,14.4,4.9399999999999995,7.68,14.4,14.4,4.9399999999999995,7.68,14.200000000000024
191,11NPSWRD_WQX-GOGA_CCSF_OM09_19890808_1433928,14.2,1.0,14.2,4.9399999999999995,7.86,GOGA0003,1989-08-08,-122.521677,37.772495,1989,8,8,1,0,14.2,14.2,4.9399999999999995,7.82,14.2,14.2,4.9399999999999995,7.82,14.200000000000024
192,11NPSWRD_WQX-GOGA_CCSF_OM09_19890808_1433929,14.2,1.0,14.2,4.9399999999999995,7.91,GOGA0003,1989-08-08,-122.521677,37.772495,1989,8,8,1,0,14.2,14.2,4.9399999999999995,7.86,14.2,14.2,4.9399999999999995,7.86,14.200000000000024
193,11NPSWRD_WQX-GOGA_CCSF_OM09_19890808_1433931,14.2,1.0,14.2,4.9399999999999995,7.93,GOGA0003,1989-08-08,-122.521677,37.772495,1989,8,8,1,0,14.2,14.2,4.9399999999999995,7.91,14.2,14.2,4.9399999999999995,7.91,14.200000000000024
194,11NPSWRD_WQX-GOGA_CCSF_OM09_19890912_1433933,14.4,1.0,14.4,4.9399999999999995,7.37,GOGA0003,1989-09-12,-122.521677,37.772495,1989,9,12,1,0,14.2,14.2,4.9399999999999995,7.93,14.2,14.2,4.9399999999999995,7.93,14.400000000000013
195,11NPSWRD_WQX-GOGA_CCSF_OM09_19890912_1433935,14.2,1.0,14.2,4.9399999999999995,7.36,GOGA0003,1989-09-12,-122.521677,37.772495,1989,9,12,1,0,14.4,14.4,4.9399999999999995,7.37,14.4,14.4,4.9399999999999995,7.37,14.200000000000024
196,11NPSWRD_WQX-GOGA_CCSF_OM09_19890912_1433937,14.3,1.0,14.3,4.9399999999999995,7.37,GOGA0003,1989-09-12,-122.521677,37.772495,1989,9,12,1,0,14.2,14.2,4.9399999999999995,7.36,14.2,14.2,4.9399999999999995,7.36,14.299999999999976
197,11NPSWRD_WQX-GOGA_CCSF_OM09_19890912_1433938,13.6,1.0,13.6,4.9399999999999995,7.28,GOGA0003,1989-09-12,-122.521677,37.772495,1989,9,12,1,0,14.3,14.3,4.9399999999999995,7.37,14.3,14.3,4.9399999999999995,7.37,13.599999999999989
198,11NPSWRD_WQX-GOGA_CCSF_OM09_19890912_1433940,13.6,1.0,13.6,4.9399999999999995,7.29,GOGA0003,1989-09-12,-122.521677,37.772495,1989,9,12,1,0,13.6,13.6,4.9399999999999995,7.28,13.6,13.6,4.9399999999999995,7.28,13.599999999999989
199,11NPSWRD_WQX-GOGA_CCSF_OM09_19890912_1433942,13.6,1.0,13.6,4.9399999999999995,7.3,GOGA0003,1989-09-12,-122.521677,37.772495,1989,9,12,1,0,13.6,13.6,4.9399999999999995,7.29,13.6,13.6,4.9399999999999995,7.29,13.59999999999999
200,11NPSWRD_WQX-GOGA_CCSF_OM09_19890912_1433943,13.6,1.0,13.6,4.9399999999999995,7.3,GOGA0003,1989-09-12,-122.521677,37.772495,1989,9,12,1,0,13.6,13.6,4.9399999999999995,7.3,13.6,13.6,4.9399999999999995,7.3,13.59999999999999
201,11NPSWRD_WQX-GOGA_CCSF_OM09_19891004_1433946,14.1,1.0,14.1,4.9399999999999995,7.75,GOGA0003,1989-10-04,-122.521677,37.772495,1989,10,4,2,0,13.6,13.6,4.9399999999999995,7.3,13.6,13.6,4.9399999999999995,7.3,14.099999999999987
202,11NPSWRD_WQX-GOGA_CCSF_OM09_19891004_1433948,14.0,1.0,14.0,4.9399999999999995,7.75,GOGA0003,1989-10-04,-122.521677,37.772495,1989,10,4,2,0,14.1,14.1,4.9399999999999995,7.75,14.1,14.1,4.9399999999999995,7.75,14.0
203,11NPSWRD_WQX-GOGA_CCSF_OM09_19891004_1433950,13.8,1.0,13.8,4.9399999999999995,7.75,GOGA0003,1989-10-04,-122.521677,37.772495,1989,10,4,2,0,14.0,14.0,4.9399999999999995,7.75,14.0,14.0,4.9399999999999995,7.75,13.799999999999976
204,11NPSWRD_WQX-GOGA_CCSF_OM09_19891004_1433951,13.2,1.0,13.2,4.9399999999999995,7.75,GOGA0003,1989-10-04,-122.521677,37.772495,1989,10,4,2,0,13.8,13.8,4.9399999999999995,7.75,13.8,13.8,4.9399999999999995,7.75,13.200000000000024
205,11NPSWRD_WQX-GOGA_CCSF_OM09_19891004_1433953,12.9,1.0,12.9,4.9399999999999995,7.75,GOGA0003,1989-10-04,-122.521677,37.772495,1989,10,4,2,0,13.2,13.2,4.9399999999999995,7.75,13.2,13.2,4.9399999999999995,7.75,12.900000000000004
206,11NPSWRD_WQX-GOGA_CCSF_OM09_19891004_1433955,12.9,1.0,12.9,4.9399999999999995,7.75,GOGA0003,1989-10-04,-122.521677,37.772495,1989,10,4,2,0,12.9,12.9,4.9399999999999995,7.75,12.9,12.9,4.9399999999999995,7.75,12.900000000000004
207,11NPSWRD_WQX-GOGA_CCSF_OM09_19891004_1433956,12.9,1.0,12.9,4.9399999999999995,7.76,GOGA0003,1989-10-04,-122.521677,37.772495,1989,10,4,2,0,12.9,12.9,4.9399999999999995,7.75,12.9,12.9,4.9399999999999995,7.75,12.900000000000004
208,11NPSWRD_WQX-GOGA_CCSF_OM09_19891004_1433958,12.9,1.0,12.9,4.9399999999999995,7.77,GOGA0003,1989-10-04,-122.521677,37.772495,1989,10,4,2,0,12.9,12.9,4.9399999999999995,7.76,12.9,12.9,4.9399999999999995,7.76,12.900000000000004
209,11NPSWRD_WQX-GOGA_CCSF_OM09_19891107_1433960,14.4,1.0,14.4,4.9399999999999995,7.83,GOGA0003,1989-11-07,-122.521677,37.772495,1989,11,7,1,0,12.9,12.9,4.9399999999999995,7.77,12.9,12.9,4.9399999999999995,7.77,14.400000000000013
210,11NPSWRD_WQX-GOGA_CCSF_OM09_19891107_1433962,14.2,1.0,14.2,4.9399999999999995,7.83,GOGA0003,1989-11-07,-122.521677,37.772495,1989,11,7,1,0,14.4,14.4,4.9399999999999995,7.83,14.4,14.4,4.9399999999999995,7.83,14.200000000000024
211,11NPSWRD_WQX-GOGA_CCSF_OM09_19891107_1433964,14.1,1.0,14.1,4.9399999999999995,7.84,GOGA0003,1989-11-07,-122.521677,37.772495,1989,11,7,1,0,14.2,14.2,4.9399999999999995,7.83,14.2,14.2,4.9399999999999995,7.83,14.099999999999987
212,11NPSWRD_WQX-GOGA_CCSF_OM09_19891107_1433965,13.9,1.0,13.9,4.9399999999999995,7.84,GOGA0003,1989-11-07,-122.521677,37.772495,1989,11,7,1,0,14.1,14.1,4.9399999999999995,7.84,14.1,14.1,4.9399999999999995,7.84,13.900000000000011
213,11NPSWRD_WQX-GOGA_CCSF_OM09_19891107_1433967,13.8,1.0,13.8,4.9399999999999995,7.85,GOGA0003,1989-11-07,-122.521677,37.772495,1989,11,7,1,0,13.9,13.9,4.9399999999999995,7.84,13.9,13.9,4.9399999999999995,7.84,13.799999999999976
214,11NPSWRD_WQX-GOGA_CCSF_OM09_19891107_1433969,13.8,1.0,13.8,4.9399999999999995,7.85,GOGA0003,1989-11-07,-122.521677,37.772495,1989,11,7,1,0,13.8,13.8,4.9399999999999995,7.85,13.8,13.8,4.9399999999999995,7.85,13.799999999999976
215,11NPSWRD_WQX-GOGA_CCSF_OM09_19891107_1433970,13.8,1.0,13.8,4.9399999999999995,7.86,GOGA0003,1989-11-07,-122.521677,37.772495,1989,11,7,1,0,13.8,13.8,4.9399999999999995,7.85,13.8,13.8,4.9399999999999995,7.85,13.799999999999976
216,11NPSWRD_WQX-GOGA_CCSF_OM09_19891205_1433973,12.3,1.0,12.3,4.9399999999999995,8.0,GOGA0003,1989-12-05,-122.521677,37.772495,1989,12,5,1,0,13.8,13.8,4.9399999999999995,7.86,13.8,13.8,4.9399999999999995,7.86,12.299999999999978
217,11NPSWRD_WQX-GOGA_CCSF_OM09_19891205_1433975,12.3,1.0,12.3,4.9399999999999995,8.01,GOGA0003,1989-12-05,-122.521677,37.772495,1989,12,5,1,0,12.3,12.3,4.9399999999999995,8.0,12.3,12.3,4.9399999999999995,8.0,12.299999999999978
218,11NPSWRD_WQX-GOGA_CCSF_OM09_19891205_1433977,12.2,1.0,12.2,4.9399999999999995,8.03,GOGA0003,1989-12-05,-122.521677,37.772495,1989,12,5,1,0,12.3,12.3,4.9399999999999995,8.01,12.3,12.3,4.9399999999999995,8.01,12.200000000000022
219,11NPSWRD_WQX-GOGA_CCSF_OM09_19891205_1433978,12.3,1.0,12.3,4.9399999999999995,8.11,GOGA0003,1989-12-05,-122.521677,37.772495,1989,12,5,1,0,12.2,12.2,4.9399999999999995,8.03,12.2,12.2,4.9399999999999995,8.03,12.299999999999978
220,11NPSWRD_WQX-GOGA_CCSF_OM09_19891205_1433980,12.6,1.0,12.6,4.9399999999999995,8.18,GOGA0003,1989-12-05,-122.521677,37.772495,1989,12,5,1,0,12.3,12.3,4.9399999999999995,8.11,12.3,12.3,4.9399999999999995,8.11,12.599999999999998
221,11NPSWRD_WQX-GOGA_CCSF_OM09_19891205_1433982,12.6,1.0,12.6,4.9399999999999995,8.18,GOGA0003,1989-12-05,-122.521677,37.772495,1989,12,5,1,0,12.6,12.6,4.9399999999999995,8.18,12.6,12.6,4.9399999999999995,8.18,12.599999999999998
222,11NPSWRD_WQX-GOGA_CCSF_OM09_19891205_1433983,12.6,1.0,12.6,4.9399999999999995,8.19,GOGA0003,1989-12-05,-122.521677,37.772495,1989,12,5,1,0,12.6,12.6,4.9399999999999995,8.18,12.6,12.6,4.9399999999999995,8.18,12.599999999999998
223,11NPSWRD_WQX-GOGA_CCSF_OM09_19900314_1433986,10.9,1.0,10.9,4.9399999999999995,7.43,GOGA0003,1990-03-14,-122.521677,37.772495,1990,3,14,2,0,12.6,12.6,4.9399999999999995,8.19,12.6,12.6,4.9399999999999995,8.19,10.899999999999991
224,11NPSWRD_WQX-GOGA_CCSF_OM09_19900314_1433988,10.9,1.0,10.9,4.9399999999999995,7.43,GOGA0003,1990-03-14,-122.521677,37.772495,1990,3,14,2,0,10.9,10.9,4.9399999999999995,7.43,10.9,10.9,4.9399999999999995,7.43,10.899999999999991
225,11NPSWRD_WQX-GOGA_CCSF_OM09_19900314_1433990,10.3,1.0,10.3,4.9399999999999995,7.42,GOGA0003,1990-03-14,-122.521677,37.772495,1990,3,14,2,0,10.9,10.9,4.9399999999999995,7.43,10.9,10.9,4.9399999999999995,7.43,10.299999999999981
226,11NPSWRD_WQX-GOGA_CCSF_OM09_19900314_1433991,10.3,1.0,10.3,4.9399999999999995,7.42,GOGA0003,1990-03-14,-122.521677,37.772495,1990,3,14,2,0,10.3,10.3,4.9399999999999995,7.42,10.3,10.3,4.9399999999999995,7.42,10.299999999999981
227,11NPSWRD_WQX-GOGA_CCSF_OM09_19900314_1433993,10.3,1.0,10.3,4.9399999999999995,7.42,GOGA0003,1990-03-14,-122.521677,37.772495,1990,3,14,2,0,10.3,10.3,4.9399999999999995,7.42,10.3,10.3,4.9399999999999995,7.42,10.299999999999981
228,11NPSWRD_WQX-GOGA_CCSF_OM09_19900314_1433995,10.3,1.0,10.3,4.9399999999999995,7.42,GOGA0003,1990-03-14,-122.521677,37.772495,1990,3,14,2,0,10.3,10.3,4.9399999999999995,7.42,10.3,10.3,4.9399999999999995,7.42,10.299999999999981
229,11NPSWRD_WQX-GOGA_CCSF_OM09_19900314_1433996,10.3,1.0,10.3,4.9399999999999995,7.43,GOGA0003,1990-03-14,-122.521677,37.772495,1990,3,14,2,0,10.3,10.3,4.9399999999999995,7.42,10.3,10.3,4.9399999999999995,7.42,10.299999999999981
230,11NPSWRD_WQX-GOGA_CCSF_OM09_19900619_1433999,13.4,1.0,13.4,4.9399999999999995,7.77,GOGA0003,1990-06-19,-122.521677,37.772495,1990,6,19,1,0,10.3,10.3,4.9399999999999995,7.43,10.3,10.3,4.9399999999999995,7.43,13.40000000000001
231,11NPSWRD_WQX-GOGA_CCSF_OM09_19900619_1434001,13.3,1.0,13.3,4.9399999999999995,7.77,GOGA0003,1990-06-19,-122.521677,37.772495,1990,6,19,1,0,13.4,13.4,4.9399999999999995,7.77,13.4,13.4,4.9399999999999995,7.77,13.299999999999976
232,11NPSWRD_WQX-GOGA_CCSF_OM09_19900619_1434003,13.2,1.0,13.2,4.9399999999999995,7.77,GOGA0003,1990-06-19,-122.521677,37.772495,1990,6,19,1,0,13.3,13.3,4.9399999999999995,7.77,13.3,13.3,4.9399999999999995,7.77,13.200000000000024
233,11NPSWRD_WQX-GOGA_CCSF_OM09_19900619_1434004,13.2,1.0,13.2,4.9399999999999995,7.77,GOGA0003,1990-06-19,-122.521677,37.772495,1990,6,19,1,0,13.2,13.2,4.9399999999999995,7.77,13.2,13.2,4.9399999999999995,7.77,13.200000000000024
234,11NPSWRD_WQX-GOGA_CCSF_OM09_19900619_1434006,13.2,1.0,13.2,4.9399999999999995,7.77,GOGA0003,1990-06-19,-122.521677,37.772495,1990,6,19,1,0,13.2,13.2,4.9399999999999995,7.77,13.2,13.2,4.9399999999999995,7.77,13.200000000000024
235,11NPSWRD_WQX-GOGA_CCSF_OM09_19900619_1434008,13.2,1.0,13.2,4.9399999999999995,7.77,GOGA0003,1990-06-19,-122.521677,37.772495,1990,6,19,1,0,13.2,13.2,4.9399999999999995,7.77,13.2,13.2,4.9399999999999995,7.77,13.200000000000024
236,11NPSWRD_WQX-GOGA_CCSF_OM09_19900619_1434009,13.1,1.0,13.1,4.9399999999999995,7.77,GOGA0003,1990-06-19,-122.521677,37.772495,1990,6,19,1,0,13.2,13.2,4.9399999999999995,7.77,13.2,13.2,4.9399999999999995,7.77,13.099999999999993
237,11NPSWRD_WQX-GOGA_CCSF_OM09_19901023_1434012,13.6,1.0,13.6,4.9399999999999995,7.68,GOGA0003,1990-10-23,-122.521677,37.772495,1990,10,23,1,0,13.1,13.1,4.9399999999999995,7.77,13.1,13.1,4.9399999999999995,7.77,13.59999999999999
238,11NPSWRD_WQX-GOGA_CCSF_OM09_19901023_1434014,13.0,1.0,13.0,4.9399999999999995,7.68,GOGA0003,1990-10-23,-122.521677,37.772495,1990,10,23,1,0,13.6,13.6,4.9399999999999995,7.68,13.6,13.6,4.9399999999999995,7.68,13.0
239,11NPSWRD_WQX-GOGA_CCSF_OM09_19901023_1434016,11.9,1.0,11.9,4.9399999999999995,7.67,GOGA0003,1990-10-23,-122.521677,37.772495,1990,10,23,1,0,13.0,13.0,4.9399999999999995,7.68,13.0,13.0,4.9399999999999995,7.68,11.899999999999999
240,11NPSWRD_WQX-GOGA_CCSF_OM09_19901023_1434017,11.7,1.0,11.7,4.9399999999999995,7.68,GOGA0003,1990-10-23,-122.521677,37.772495,1990,10,23,1,0,11.9,11.9,4.9399999999999995,7.67,11.9,11.9,4.9399999999999995,7.67,11.70000000000002
