OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
USGS-CA,USGS California Water Science Center,nwisca.01.98800159,Sample-Routine,Water,Groundwater,1987-11-17,10:40:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11162680,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-92918898,,,Calcium,Dissolved,6.50,mg/l,,Historical,,Actual,,,,,,,,,,,00915,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101",,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.98800159,Sample-Routine,Water,Groundwater,1987-11-17,10:40:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11162680,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-92918899,,,Magnesium,Dissolved,0.580,mg/l,,Historical,,Actual,,,,,,,,,,,00925,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101",,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.98800159,Sample-Routine,Water,Groundwater,1987-11-17,10:40:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11162680,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-92918900,,,Sodium,Dissolved,1.70,mg/l,,Historical,,Actual,,,,,,,,,,,00930,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101",,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.98800159,Sample-Routine,Water,Groundwater,1987-11-17,10:40:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11162680,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-92918902,Not Detected,,Potassium,Dissolved,,,,Historical,,Actual,,,,,,,,,,,00935,,,,,,,,,AA030,USGS,"Potassium, wf, direct AAS (NWQL)",,"USGS TWRI 5-A1/1989, p 393",,,,,Historical Lower Reporting Limit,0.10,mg/l,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.98800167,Sample-Routine,Water,Groundwater,1987-11-19,16:15:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-374450122302401,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-28477805,,,Calcium,Dissolved,27.0,mg/l,,Historical,,Actual,,,,,,,,,,,00915,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101",,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.98800167,Sample-Routine,Water,Groundwater,1987-11-19,16:15:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-374450122302401,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-28477806,,,Magnesium,Dissolved,31.0,mg/l,,Historical,,Actual,,,,,,,,,,,00925,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101",,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.98800167,Sample-Routine,Water,Groundwater,1987-11-19,16:15:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-374450122302401,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-28477807,,,Sodium,Dissolved,46.0,mg/l,,Historical,,Actual,,,,,,,,,,,00930,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101",,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.98800167,Sample-Routine,Water,Groundwater,1987-11-19,16:15:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-374450122302401,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-28477809,,,"Sodium, percent total cations",,33,%,,Historical,,Actual,,,,,,,,,,,00932,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.98800167,Sample-Routine,Water,Groundwater,1987-11-19,16:15:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-374450122302401,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-28477810,,,Potassium,Dissolved,4.70,mg/l,,Historical,,Actual,,,,,,,,,,,00935,,,,,,,,,AA030,USGS,"Potassium, wf, direct AAS (NWQL)",,"USGS TWRI 5-A1/1989, p 393",,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.98800162,Sample-Routine,Water,Groundwater,1987-11-19,08:45:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-374547122270501,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-28477689,,,Calcium,Dissolved,34.0,mg/l,,Historical,,Actual,,,,,,,,,,,00915,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101",,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.98800162,Sample-Routine,Water,Groundwater,1987-11-19,08:45:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-374547122270501,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-28477690,,,Magnesium,Dissolved,22.0,mg/l,,Historical,,Actual,,,,,,,,,,,00925,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101",,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.98800162,Sample-Routine,Water,Groundwater,1987-11-19,08:45:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-374547122270501,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-28477691,,,Sodium,Dissolved,38.0,mg/l,,Historical,,Actual,,,,,,,,,,,00930,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101",,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.98800162,Sample-Routine,Water,Groundwater,1987-11-19,08:45:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-374547122270501,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-28477693,,,"Sodium, percent total cations",,32,%,,Historical,,Actual,,,,,,,,,,,00932,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.98800162,Sample-Routine,Water,Groundwater,1987-11-19,08:45:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-374547122270501,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-28477694,,,Potassium,Dissolved,1.00,mg/l,,Historical,,Actual,,,,,,,,,,,00935,,,,,,,,,AA030,USGS,"Potassium, wf, direct AAS (NWQL)",,"USGS TWRI 5-A1/1989, p 393",,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.98800169,Sample-Routine,Water,Groundwater,1987-11-17,11:30:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-374406122301701,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-28477834,,,Calcium,Dissolved,28.0,mg/l,,Historical,,Actual,,,,,,,,,,,00915,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101",,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.98800169,Sample-Routine,Water,Groundwater,1987-11-17,11:30:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-374406122301701,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-28477835,,,Magnesium,Dissolved,31.0,mg/l,,Historical,,Actual,,,,,,,,,,,00925,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101",,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.98800169,Sample-Routine,Water,Groundwater,1987-11-17,11:30:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-374406122301701,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-28477836,,,Sodium,Dissolved,33.0,mg/l,,Historical,,Actual,,,,,,,,,,,00930,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101",,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.98800169,Sample-Routine,Water,Groundwater,1987-11-17,11:30:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-374406122301701,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-28477838,,,"Sodium, percent total cations",,26,%,,Historical,,Actual,,,,,,,,,,,00932,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.98800169,Sample-Routine,Water,Groundwater,1987-11-17,11:30:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-374406122301701,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-28477839,,,Potassium,Dissolved,1.90,mg/l,,Historical,,Actual,,,,,,,,,,,00935,,,,,,,,,AA030,USGS,"Potassium, wf, direct AAS (NWQL)",,"USGS TWRI 5-A1/1989, p 393",,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.98800160,Sample-Routine,Water,Groundwater,1987-11-17,13:05:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-374412122284901,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-28477588,,,Calcium,Dissolved,30.0,mg/l,,Historical,,Actual,,,,,,,,,,,00915,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101",,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.98800160,Sample-Routine,Water,Groundwater,1987-11-17,13:05:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-374412122284901,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-28477589,,,Magnesium,Dissolved,32.0,mg/l,,Historical,,Actual,,,,,,,,,,,00925,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101",,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.98800160,Sample-Routine,Water,Groundwater,1987-11-17,13:05:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-374412122284901,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-28477590,,,Sodium,Dissolved,41.0,mg/l,,Historical,,Actual,,,,,,,,,,,00930,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101",,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.98800160,Sample-Routine,Water,Groundwater,1987-11-17,13:05:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-374412122284901,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-28477592,,,"Sodium, percent total cations",,30,%,,Historical,,Actual,,,,,,,,,,,00932,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.98800160,Sample-Routine,Water,Groundwater,1987-11-17,13:05:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-374412122284901,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-28477593,,,Potassium,Dissolved,0.90,mg/l,,Historical,,Actual,,,,,,,,,,,00935,,,,,,,,,AA030,USGS,"Potassium, wf, direct AAS (NWQL)",,"USGS TWRI 5-A1/1989, p 393",,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.98800165,Sample-Routine,Water,Groundwater,1987-11-18,16:45:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-374516122302701,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-28477747,,,Calcium,Dissolved,47.0,mg/l,,Historical,,Actual,,,,,,,,,,,00915,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101",,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.98800165,Sample-Routine,Water,Groundwater,1987-11-18,16:45:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-374516122302701,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-28477748,,,Magnesium,Dissolved,39.0,mg/l,,Historical,,Actual,,,,,,,,,,,00925,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101",,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.98800165,Sample-Routine,Water,Groundwater,1987-11-18,16:45:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-374516122302701,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-28477749,,,Sodium,Dissolved,80.0,mg/l,,Historical,,Actual,,,,,,,,,,,00930,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101",,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.98800165,Sample-Routine,Water,Groundwater,1987-11-18,16:45:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-374516122302701,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-28477751,,,"Sodium, percent total cations",,37,%,,Historical,,Actual,,,,,,,,,,,00932,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.98800165,Sample-Routine,Water,Groundwater,1987-11-18,16:45:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-374516122302701,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-28477752,,,Potassium,Dissolved,13.0,mg/l,,Historical,,Actual,,,,,,,,,,,00935,,,,,,,,,AA030,USGS,"Potassium, wf, direct AAS (NWQL)",,"USGS TWRI 5-A1/1989, p 393",,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.98800170,Sample-Routine,Water,Groundwater,1987-11-18,09:50:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-374346122300501,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-28477863,,,Calcium,Dissolved,43.0,mg/l,,Historical,,Actual,,,,,,,,,,,00915,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101",,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.98800170,Sample-Routine,Water,Groundwater,1987-11-18,09:50:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-374346122300501,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-28477864,,,Magnesium,Dissolved,54.0,mg/l,,Historical,,Actual,,,,,,,,,,,00925,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101",,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.98800170,Sample-Routine,Water,Groundwater,1987-11-18,09:50:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-374346122300501,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-28477865,,,Sodium,Dissolved,70.0,mg/l,,Historical,,Actual,,,,,,,,,,,00930,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101",,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.98800170,Sample-Routine,Water,Groundwater,1987-11-18,09:50:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-374346122300501,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-28477867,,,"Sodium, percent total cations",,31,%,,Historical,,Actual,,,,,,,,,,,00932,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
