OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,ActivityLocation/SourceMapScaleNumeric,ActivityLocation/HorizontalAccuracyMeasure/MeasureValue,ActivityLocation/HorizontalAccuracyMeasure/MeasureUnitCode,ActivityLocation/HorizontalCollectionMethodName,ActivityLocation/HorizontalCoordinateReferenceSystemDatumName,AssemblageSampledName,CollectionDuration/MeasureValue,CollectionDuration/MeasureUnitCode,SamplingComponentName,SamplingComponentPlaceInSeriesNumeric,ReachLengthMeasure/MeasureValue,ReachLengthMeasure/MeasureUnitCode,ReachWidthMeasure/MeasureValue,ReachWidthMeasure/MeasureUnitCode,PassCount,NetTypeName,NetSurfaceAreaMeasure/MeasureValue,NetSurfaceAreaMeasure/MeasureUnitCode,NetMeshSizeMeasure/MeasureValue,NetMeshSizeMeasure/MeasureUnitCode,BoatSpeedMeasure/MeasureValue,BoatSpeedMeasure/MeasureUnitCode,CurrentSpeedMeasure/MeasureValue,CurrentSpeedMeasure/MeasureUnitCode,ToxicityTestType,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodQualifierTypeName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,SampleCollectionMethod/SampleCollectionEquipmentCommentText,SamplePreparationMethod/MethodIdentifier,SamplePreparationMethod/MethodIdentifierContext,SamplePreparationMethod/MethodName,SamplePreparationMethod/MethodQualifierTypeName,SamplePreparationMethod/MethodDescriptionText,SampleContainerTypeName,SampleContainerColorName,ChemicalPreservativeUsedName,ThermalPreservativeUsedName,SampleTransportStorageDescription,BinaryObjectFileName,BinaryObjectFileTypeCode,ActivityFileUrl,ActivityMetricUrl,ActivityGroupUrl,ProviderName
USGS-CA,USGS California Water Science Center,nwisca.01.02101544,Sample-Routine,Water,Surface Water,2021-01-28,10:16:00,PST,,,,,,,,,,,,,,USGS-11174600,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,USGS parameter code 82398,Equal width increment (ewi),,,US D-95 plastic bottle,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02400849,Sample-Routine,Water,Surface Water,2024-01-04,09:30:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-373642122120401,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,USGS parameter code 82398,Point sample,,,Submersible centrifugal pump,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02306827,Sample-Routine,Water,Surface Water,2023-09-20,06:03:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-372818122040001,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,USGS parameter code 82398,Point sample,,,Phytoplankton net,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02101863,Sample-Routine,Water,Surface Water,2021-01-28,23:58:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11176090,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,USGS parameter code 82398,SuspSed; Pumping - stream sample using a pumping mechanism,,,"Sampler, point, automatic",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02204020,Sample-Routine,Water,Surface Water,2022-05-25,09:41:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-373401122092201,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,USGS parameter code 82398,Point sample,,,Mulitple samplers used,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02002508,Sample-Routine,Water,Surface Water,2020-04-07,13:18:00,PDT,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11176145,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,USGS parameter code 82398,Equal width increment (ewi),,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02200615,Sample-Routine,Water,Surface Water,2021-10-25,14:34:00,PDT,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11176090,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,USGS parameter code 82398,SuspSed; Pumping - stream sample using a pumping mechanism,,,"Sampler, point, automatic",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02200510,Sample-Routine,Water,Surface Water,2021-11-09,14:10:00,PST,,,,,,,,,,,,,,USGS-11176145,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02102071,Sample-Routine,Water,Surface Water,2021-01-28,17:09:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11176090,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02203435,Sample-Routine,Water,Surface Water,2022-04-21,14:38:00,PDT,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11176900,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02200361,Sample-Routine,Water,Surface Water,2021-10-24,22:31:00,PDT,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11181040,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,USGS parameter code 82398,SuspSed; Pumping - stream sample using a pumping mechanism,,,"Sampler, point, automatic",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02003904,Sample-Routine,Water,Surface Water,2020-08-30,12:45:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11180770,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,USGS,USGS,,,Unknown,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02203364,Sample-Routine,Water,Groundwater,2022-04-20,10:00:00,PDT,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-373700122050001,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,4040,USGS parameter code 82398,Submersible pump,,,Line-shaft turbine pump,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02102156,Sample-Routine,Water,Surface Water,2021-02-07,15:00:00,PST,,,,,,,,,,,,,Observer,USGS-11179000,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,USGS parameter code 82398,Equal width increment (ewi),,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02304509,Sample-Routine,Water,Surface Water,2023-05-25,06:07:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-372818122040001,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,USGS parameter code 82398,Point sample,,,Phytoplankton net,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02200465,Sample-Routine,Water,Surface Water,2021-10-30,18:00:00,PDT,,,,,,,,,,,,,Observer,USGS-11179000,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,USGS parameter code 82398,Equal width increment (ewi),,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02200878,Sample-Routine,Sediment,Bottom material,2021-11-30,14:18:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11176900,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,USGS parameter code 82398,Point sample,,,Bed Material -- Scoop Shovel,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02002789,Sample-Routine,Sediment,Bottom material,2020-05-07,16:54:00,PDT,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11176900,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,USGS parameter code 82398,Point sample,,,Bed Material -- Scoop Shovel,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02105034,Sample-Routine,Sediment,Bottom material,2021-02-16,15:15:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11176900,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,USGS parameter code 82398,Point sample,,,Bed Material -- Scoop Shovel,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02302397,Sample-Routine,Water,Surface Water,2023-03-15,08:27:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-372844122043800,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,USGS parameter code 82398,Point sample,,,Mulitple samplers used,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02200732,Sample-Routine,Water,Surface Water,2021-12-28,09:51:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11176200,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,USGS parameter code 82398,Equal width increment (ewi),,,US DH-81,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02103201,Sample-Routine,Sediment,Bottom material,2021-04-22,09:48:00,PDT,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11179000,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,USGS parameter code 82398,Point sample,,,Bed Material -- Scoop Shovel,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02103794,Sample-Routine,Water,Surface Water,2021-04-30,19:00:00,PDT,,,,,,,,,,,,,Observer,USGS-11179000,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,USGS parameter code 82398,Equal width increment (ewi),,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02204552,Sample-Routine,Water,Surface Water,2022-07-08,08:52:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-375015122190001,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,USGS parameter code 82398,Point sample,,,Mulitple samplers used,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02200503,Sample-Routine,Water,Surface Water,2021-11-09,13:14:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11176090,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,USGS parameter code 82398,Grab sample  (dip),,,Grab sample,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02200475,Sample-Routine,Water,Surface Water,2021-10-07,10:41:00,PDT,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11174600,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02200606,Sample-Routine,Water,Surface Water,2021-10-24,20:34:00,PDT,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11176090,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,USGS parameter code 82398,SuspSed; Pumping - stream sample using a pumping mechanism,,,"Sampler, point, automatic",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02202894,Sample-Routine,Water,Surface Water,2022-03-27,19:15:00,PDT,,,,,,,,,,,,,,USGS-11176900,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,USGS parameter code 82398,Equal width increment (ewi),,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02101835,Sample-Routine,Water,Surface Water,2021-01-28,15:10:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11174600,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,USGS parameter code 82398,SuspSed; Pumping - stream sample using a pumping mechanism,,,"Sampler, point, automatic",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02100874,Sample-Routine,Water,Surface Water,2020-12-17,12:35:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11176090,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,USGS parameter code 82398,Grab sample  (dip),,,Grab sample,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02200778,Sample-Routine,Water,Surface Water,2021-12-16,02:09:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11181040,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,USGS parameter code 82398,SuspSed; Pumping - stream sample using a pumping mechanism,,,"Sampler, point, automatic",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02102158,Sample-Routine,Water,Surface Water,2021-02-07,15:10:00,PST,,,,,,,,,,,,,Observer,USGS-11179000,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,USGS parameter code 82398,Equal width increment (ewi),,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02304506,Sample-Routine,Water,Surface Water,2023-05-24,12:36:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-373739122093101,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,USGS parameter code 82398,Point sample,,,Mulitple samplers used,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02201655,Sample-Routine,Water,Surface Water,2021-12-13,20:37:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11176200,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,USGS parameter code 82398,SuspSed; Pumping - stream sample using a pumping mechanism,,,"Sampler, point, automatic",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02101875,Sample-Routine,Water,Surface Water,2021-02-10,14:06:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11176200,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02205620,Sample-Routine,Water,Surface Water,2022-09-07,07:52:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-373203122080901,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,USGS parameter code 82398,Point sample,,,Mulitple samplers used,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02200527,Sample-Routine,Water,Surface Water,2021-11-09,12:20:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11176200,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,USGS parameter code 82398,Equal width increment (ewi),,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02101624,Sample-Routine,Water,Surface Water,2021-01-10,16:10:00,PST,,,,,,,,,,,,,Observer,USGS-11179000,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,USGS parameter code 82398,Equal width increment (ewi),,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02201251,Sample-Routine,Water,Surface Water,2021-12-30,15:15:00,PST,,,,,,,,,,,,,Observer,USGS-11176900,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,USGS parameter code 82398,Equal width increment (ewi),,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02200768,Sample-Routine,Water,Surface Water,2021-12-13,05:55:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11181040,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,USGS parameter code 82398,SuspSed; Pumping - stream sample using a pumping mechanism,,,"Sampler, point, automatic",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02100340,Sample-Routine,Water,Surface Water,2020-10-29,17:50:00,PDT,,,,,,,,,,,,,Observer,USGS-11176900,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02102644,Sample-Routine,Water,Surface Water,2021-03-24,16:12:00,PDT,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11181040,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,USGS parameter code 82398,"Single vertical, depth integrated",,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02203562,Sample-Routine,Water,Surface Water,2022-05-11,10:30:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-374027122130401,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,USGS parameter code 82398,Point sample,,,Submersible centrifugal pump,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02200912,Sample-Routine,Water,Surface Water,2021-12-14,16:41:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11179000,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,USGS parameter code 82398,Equal discharge increment (edi),,,"Sampler, US D-74",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02101992,Sample-Routine,Water,Surface Water,2021-03-03,12:00:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-373642122120401,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,USGS parameter code 82398,Point sample,,,Van Dorn sampler,,,,,,,,,,,,,,,,,NWIS
