OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,MonitoringLocationIdentifier,ResultIdentifier,DataLoggerLine,ResultDetectionConditionText,MethodSpecificationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,DataQuality/BiasValue,ConfidenceIntervalValue,UpperConfidenceLimitValue,LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,ResultSamplingPointName,BiologicalIntentName,BiologicalIndividualIdentifier,SubjectTaxonomicName,UnidentifiedSpeciesIdentifier,SampleTissueAnatomyName,GroupSummaryCountWeight/MeasureValue,GroupSummaryCountWeight/MeasureUnitCode,CellFormName,CellShapeName,HabitName,VoltismName,TaxonomicPollutionTolerance,TaxonomicPollutionToleranceScaleText,TrophicLevelName,FunctionalFeedingGroupName,TaxonomicDetailsCitation/ResourceTitleName,TaxonomicDetailsCitation/ResourceCreatorName,TaxonomicDetailsCitation/ResourceSubjectText,TaxonomicDetailsCitation/ResourcePublisherName,TaxonomicDetailsCitation/ResourceDate,TaxonomicDetailsCitation/ResourceIdentifier,FrequencyClassInformationUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,AnalysisStartTime/Time,AnalysisStartTime/TimeZoneCode,AnalysisEndDate,AnalysisEndTime/Time,AnalysisEndTime/TimeZoneCode,ResultLaboratoryCommentCode,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,LaboratoryAccreditationIndicator,LaboratoryAccreditationAuthorityName,TaxonomistAccreditationIndicator,TaxonomistAccreditationAuthorityName,LabSamplePreparationUrl,ProviderName
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2632036,2020-10-13,10:55:00,PST,CABEACH_WQX-Crown Sunset Rd.,STORET-899665194,,,,Fecal Coliform,,7,cfu/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,7,CABEACH_WQX,MF (APHA 9222 D),,,,L238797-4,,,,,,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2627699,2020-09-21,11:45:00,PST,CABEACH_WQX-Crown Crab Cove,STORET-899666020,,,,Total Coliform,,700,MPN/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,12,CABEACH_WQX,MF (APHA 9222B),,,,L238373-1,,,,,,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2645552,2020-11-16,12:24:00,PST,CABEACH_WQX-Crown Bird Sanctuary,STORET-899660317,,,,Total Coliform,,200,MPN/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,12,CABEACH_WQX,MF (APHA 9222B),,,,L239515-6,,,,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2144304598,2020-09-08,08:00:00,PST,CEDEN-541XVH132,STORET-973289146,,,,Turbidity,Total,11,NTU,,Final,,Actual,,,,,,,,,,1; V090354017,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,CEDEN,SM 2130 B,,,,,2020-09-09,,,,,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2603888,2020-06-29,07:52:00,PST,CABEACH_WQX-Crown 2001 Shoreline Dr.,STORET-899660859,,,,Fecal Coliform,,3,cfu/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,7,CABEACH_WQX,MF (APHA 9222 D),,,,L236660-5,,,,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2144300840,2020-05-12,08:00:00,PST,CEDEN-541XVH132,STORET-963568045,,,,Dissolved oxygen (DO),Total,8.9,mg/L,,Final,,Actual,,,,,,,,,,166-VH132-TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,CEDEN,EPA 821/R-02-012,,,,,2020-05-13,,,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2144303863,2020-06-09,08:00:00,PST,CEDEN-541XVH132,STORET-963585406,,,,Organic carbon,Dissolved,7.7,mg/L,,Final,,Actual,,,,,,,,,,1; V060406016,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,CEDEN,SM 5310 B,,,,,2020-06-18,,,,,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2612429,2020-07-20,12:52:00,PST,CABEACH_WQX-Crown Bird Sanctuary,STORET-899664640,,,,Fecal Coliform,,20,cfu/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,7,CABEACH_WQX,MF (APHA 9222 D),,,,L237103-6,,,,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2144300752,2020-08-11,08:00:00,PST,CEDEN-541XVH132,STORET-963610826,,,,Conductivity,Total,859,uS/cm,,Final,,Actual,,,,,,,,,,169-VH132-TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,CEDEN,EPA 821/R-02-013,,,,,2020-08-12,,,,,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2580640,2020-03-23,12:10:00,PST,CABEACH_WQX-Crown Sunset Rd.,STORET-899665096,,,,Fecal Coliform,,92,cfu/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,7,CABEACH_WQX,MF (APHA 9222 D),,,,L235036-4,,,,,,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2637374,2020-11-02,10:45:00,PST,CABEACH_WQX-Crown 2001 Shoreline Dr.,STORET-899661136,,,,Enterococcus,,2,cfu/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,4,CABEACH_WQX,EPA 1600,,,,L239215-5,,,,,,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2618062,2020-08-24,07:55:00,PST,CABEACH_WQX-Crown 2001 Shoreline Dr.,STORET-899661052,,,,Enterococcus,,1,cfu/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,4,CABEACH_WQX,EPA 1600,,,,L237816-5,,,,,,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2645544,2020-11-16,12:42:00,PST,CABEACH_WQX-Crown Sunset Rd.,STORET-899665378,,,,Enterococcus,,50,cfu/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,4,CABEACH_WQX,EPA 1600,,,,L239515-4,,,,,,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2616234,2020-08-17,14:27:00,PST,CABEACH_WQX-Crown Windsurfer Corner,STORET-899665656,,,,Fecal Coliform,,120,cfu/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,7,CABEACH_WQX,MF (APHA 9222 D),,,,L237676-3,,,,,,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2635006,2020-10-26,10:44:00,PST,CABEACH_WQX-Crown Windsurfer Corner,STORET-899665844,,,,Enterococcus,,1,cfu/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,4,CABEACH_WQX,EPA 1600,,,,L239071-3,,,,,,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2590948,2020-05-11,13:27:00,PST,CABEACH_WQX-Crown Sunset Rd.,STORET-899665281,,,,Enterococcus,,19,cfu/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,4,CABEACH_WQX,EPA 1600,,,,L235770-4,,,,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2144447382,2020-06-15,09:00:00,PST,CEDEN-204R01406,STORET-963608539,,,as N,Nitrate,Total,0.19,mg/L,,Final,,Actual,,,,,,,,,,1; V050037101,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,CEDEN,EPA 300.0,,,,,2020-06-16,,,,,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2637367,2020-11-02,11:22:00,PST,CABEACH_WQX-Crown Bath House,STORET-899661322,,,,Total Coliform,,20,MPN/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,12,CABEACH_WQX,MF (APHA 9222B),,,,L239215-2,,,,,,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2589469,2020-05-04,10:41:00,PST,CABEACH_WQX-Crown Bath House,STORET-899661523,,,,Enterococcus,,4,cfu/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,4,CABEACH_WQX,EPA 1600,,,,L235640-2,,,,,,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2601691,2020-06-22,12:34:00,PST,CABEACH_WQX-Crown Bird Sanctuary,STORET-899660225,,,,Total Coliform,,520,MPN/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,12,CABEACH_WQX,MF (APHA 9222B),,,,L236521-6,,,,,,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2634014,2020-10-21,12:43:00,PST,CABEACH_WQX-Crown 2001 Shoreline Dr.,STORET-899660948,,,,Fecal Coliform,,2,cfu/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,7,CABEACH_WQX,MF (APHA 9222 D),,,,L238992-1,,,,,,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2623871,2020-09-08,09:06:00,PST,CABEACH_WQX-Crown 2001 Shoreline Dr.,STORET-899661054,,,,Enterococcus,,1,cfu/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,4,CABEACH_WQX,EPA 1600,,,,L238126-5,,,,,,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2589477,2020-05-04,10:28:00,PST,CABEACH_WQX-Crown Sunset Rd.,STORET-899664991,,,,Total Coliform,,41,MPN/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,12,CABEACH_WQX,MF (APHA 9222B),,,,L235640-4,,,,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2144300903,2020-04-14,08:00:00,PST,CEDEN-541XVH132,STORET-963579804,,,,Dissolved oxygen (DO),Total,7.3,mg/L,,Final,,Actual,,,,,,,,,,165-VH132-TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,CEDEN,EPA 821/R-02-013,,,,,2020-04-15,,,,,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2583430,2020-04-06,11:05:00,PST,CABEACH_WQX-Crown Bird Sanctuary,STORET-899660213,,,,Total Coliform,,6100,MPN/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,12,CABEACH_WQX,MF (APHA 9222B),,,,L235244-6,,,,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2144306946,2020-10-13,08:00:00,PST,CEDEN-541XVH132,STORET-973294312,,,,Zinc,Dissolved,7.3,ug/L,,Final,,Actual,,,,,,,,,,1; V100542016,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,CEDEN,EPA 200.8,,,,,2020-10-24,,,,,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2610380,2020-07-13,08:20:00,PST,CABEACH_WQX-Crown Bath House,STORET-899661605,,,,Enterococcus,,5,cfu/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,4,CABEACH_WQX,EPA 1600,,,,L236945-2,,,,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2144300840,2020-05-12,08:00:00,PST,CEDEN-541XVH132,STORET-963568048,,,as CaCO3,"Alkalinity, total",Total,97.1,mg/L,,Final,,Actual,,,,,,,,,,166-VH132-TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,CEDEN,EPA 821/R-02-013,,,,,2020-05-13,,,,,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2616233,2020-08-17,14:27:00,PST,CABEACH_WQX-Crown Windsurfer Corner,STORET-899665833,,,,Enterococcus,,3,cfu/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,4,CABEACH_WQX,EPA 1600,,,,L237676-3,,,,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2144300752,2020-08-11,08:00:00,PST,CEDEN-541XVH132,STORET-963610811,,,,Conductivity,Total,788,uS/cm,,Final,,Actual,,,,,,,,,,169-VH132-TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,CEDEN,EPA 821/R-02-012,,,,,2020-08-12,,,,,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2590956,2020-05-11,13:12:00,PST,CABEACH_WQX-Crown Bird Sanctuary,STORET-899660218,,,,Total Coliform,,310,MPN/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,12,CABEACH_WQX,MF (APHA 9222B),,,,L235770-6,,,,,,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2587126,2020-04-27,13:26:00,PST,CABEACH_WQX-Crown Sunset Rd.,STORET-899665100,,,,Fecal Coliform,,1,cfu/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,7,CABEACH_WQX,MF (APHA 9222 D),,,,L235558-4,,,,,,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2627327,2020-09-14,12:27:00,PST,CABEACH_WQX-Crown Windsurfer Corner,STORET-899665660,,,,Fecal Coliform,,1,cfu/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,7,CABEACH_WQX,MF (APHA 9222 D),,,,L238256-3,,,,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2144300771,2020-07-14,08:00:00,PST,CEDEN-541XVH132,STORET-973053698,,,,Conductivity,Total,475,uS/cm,,Final,,Actual,,,,,,,,,,168-VH132-TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,CEDEN,EPA 821/R-02-012,,,,,2020-07-15,,,,,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2580631,2020-03-23,12:28:00,PST,CABEACH_WQX-Crown Crab Cove,STORET-899664651,,,,Fecal Coliform,,210,cfu/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,7,CABEACH_WQX,MF (APHA 9222 D),,,,L235036-1,,,,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2144300771,2020-07-14,08:00:00,PST,CEDEN-541XVH132,STORET-973053703,,,,Dissolved oxygen (DO),Total,8.2,mg/L,,Final,,Actual,,,,,,,,,,168-VH132-TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,CEDEN,EPA 821/R-02-012,,,,,2020-07-15,,,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2144300903,2020-04-14,08:00:00,PST,CEDEN-541XVH132,STORET-963579787,,,,Conductivity,Total,891,uS/cm,,Final,,Actual,,,,,,,,,,165-VH132-TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,CEDEN,EPA 821/R-02-012,,,,,2020-04-15,,,,,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2623859,2020-09-08,08:28:00,PST,CABEACH_WQX-Crown Crab Cove,STORET-899664927,,,,Enterococcus,,17,cfu/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,4,CABEACH_WQX,EPA 1600,,,,L238126-1,,,,,,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2623767,2020-08-31,12:19:00,PST,CABEACH_WQX-Crown Windsurfer Corner,STORET-899665835,,,,Enterococcus,,1,cfu/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,4,CABEACH_WQX,EPA 1600,,,,L237957-3,,,,,,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2580644,2020-03-23,12:03:00,PST,CABEACH_WQX-Crown 2001 Shoreline Dr.,STORET-899660662,,,,Total Coliform,,190,MPN/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,12,CABEACH_WQX,MF (APHA 9222B),,,,L235036-5,,,,,,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2627320,2020-09-14,12:44:00,PST,CABEACH_WQX-Crown Crab Cove,STORET-899664928,,,,Enterococcus,,7,cfu/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,4,CABEACH_WQX,EPA 1600,,,,L238256-1,,,,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2144447427,2020-05-21,09:10:00,PST,CEDEN-204R03743,STORET-963588996,,,as N,Ammonia,Total,0.21,mg/L,,Final,,Actual,,,,,,,,,,1; V050037051,,,,,,,,,,,,,,,,,,,,,,,,,,,,4019,CEDEN,SM 4500-NH3 C v20,,,,,2020-06-05,,,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2144344771,2020-07-17,12:30:00,PST,CEDEN-204SLE030,STORET-963581360,,,,Moisture content,Total,79.8,%,,Final,,Actual,,,,,,,,,,1; 2008012-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,CEDEN,SM 2540 C,,,,,2020-08-17,,,,,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2580645,2020-03-23,11:56:00,PST,CABEACH_WQX-Crown Bird Sanctuary,STORET-899664736,,,,Enterococcus,,40,cfu/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,4,CABEACH_WQX,EPA 1600,,,,L235036-6,,,,,,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2600843,2020-06-15,09:21:00,PST,CABEACH_WQX-Crown Bird Sanctuary,STORET-899664816,,,,Enterococcus,,2,cfu/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,4,CABEACH_WQX,EPA 1600,,,,L236381-6,,,,,,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2627710,2020-09-21,10:48:00,PST,CABEACH_WQX-Crown 2001 Shoreline Dr.,STORET-899660943,,,,Fecal Coliform,,11,cfu/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,7,CABEACH_WQX,MF (APHA 9222 D),,,,L238373-5,,,,,,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2634001,2020-10-19,12:31:00,PST,CABEACH_WQX-Crown 2001 Shoreline Dr.,STORET-899661133,,,,Enterococcus,,110,cfu/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,4,CABEACH_WQX,EPA 1600,,,,L238945-5,,,,,,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2618055,2020-08-24,08:20:00,PST,CABEACH_WQX-Crown Bath House,STORET-899661240,,,,Total Coliform,,85,MPN/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,12,CABEACH_WQX,MF (APHA 9222B),,,,L237816-2,,,,,,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2606445,2020-07-06,13:17:00,PST,CABEACH_WQX-Crown Sunset Rd.,STORET-899665180,,,,Fecal Coliform,,1,cfu/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,7,CABEACH_WQX,MF (APHA 9222 D),,,,L236790-4,,,,,,,,,,,,,,,STORET
