OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-CA,USGS California Water Science Center,USGS-11153790,UVAS C A SVEADAL CA,Stream,,18060002,2.88,sq mi,,,37.09022580000000,-121.8046744000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11153800,ALEC CYN NR MORGAN HILL CA,Stream,,18060002,0.91,sq mi,,,37.08328160000000,-121.7852292000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11153900,UVAS C AB UVAS RES NR MORGAN HILL CA,Stream,,18060002,21.0,sq mi,,,37.09272540000000,-121.7182818000000,,5,seconds,Interpolated from MAP.,NAD83,486.47,feet,20,feet,Interpolated from topographic map.,NGVD29,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11154000,UVAS C NR MORGAN HILL CA,Stream,,18060002,30.4,sq mi,,,37.06661475000000,-121.6927252000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11154020,UVAS RES NR MORGAN HILL CA,"Lake, Reservoir, Impoundment",,18060002,30.4,sq mi,,,37.06717027000000,-121.6913362000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11154100,BODFISH C NR GILROY CA,Stream,,18060002,7.40,sq mi,,,37.00411630000000,-121.6671686000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11154200,UVAS C NR GILROY CA,Stream,,18060002,71.2,sq mi,,,36.99217114000000,-121.5735532000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11154500,PAJARO R A SARGENT CA,Stream,,18060002,505,sq mi,,,36.93328449000000,-121.5343853000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11158900,PESCADERO C NR CHITTENDEN CA,Stream,,18060002,10.2,sq mi,,,36.90773034000000,-121.5854987000000,,5,seconds,Interpolated from MAP.,NAD83,124.13,feet,10,feet,Interpolated from topographic map.,NGVD29,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11162470,PESCADERO C TRIB NR LA HONDA CA,Stream,,18050006,0.22,sq mi,,,37.27772084000000,-122.2941363000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,081,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11162500,PESCADERO C NR PESCADERO CA,Stream,,18050006,45.9,sq mi,,,37.26077707000000,-122.3288602000000,,5,seconds,Interpolated from MAP.,NAD83,62.30,feet,20,feet,Interpolated from topographic map.,NGVD29,US,06,081,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11162540,BUTANO C NR PESCADERO CA,Stream,,18050006,18.3,sq mi,,,37.23355579000000,-122.3666399000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,081,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11162550,POMPONIO C NR SAN GREGORIO CA,Stream,,18050006,6.85,sq mi,,,37.29994357000000,-122.4046969000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,081,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11162570,SAN GREGORIO C A SAN GREGORIO CA,Stream,,18050006,50.9,sq mi,,,37.32577620000000,-122.3866404000000,24000,1,seconds,Interpolated from MAP.,NAD83,11.40,feet,.01,feet,Level or other surveyed method.,NGVD29,US,06,081,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11162600,PURISIMA C NR HALF MOON BAY CA,Stream,,18050006,4.83,sq mi,,,37.43494048000000,-122.3741392000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,081,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11162618,PILARCITOS LK NR HILLSBOROUGH CA,"Lake, Reservoir, Impoundment",,18050006,3.91,sq mi,,,37.54882698000000,-122.4221961000000,24000,1,seconds,Interpolated from MAP.,NAD83,700,feet,12.,feet,Interpolated from topographic map.,NGVD29,US,06,081,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-111626182,PILARCITOS C BL SPILLWAY NR HILLSBOROUGH CA,Stream,,18050006,4.0,sq mi,,,37.54769444000000,-122.4208889000000,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,620,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,081,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11162619,PILARCITOS C AB STONE DAM NR HILLSBOROUGH CA,Stream,,18050006,6.3,sq mi,,,37.52813889000000,-122.4000833000000,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,524,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,081,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11162620,PILARCITOS C BL STONE DAM NR HILLSBOROUGH CA,Stream,,18050006,6.54,sq mi,,,37.52466087000000,-122.3994177000000,24000,1,seconds,Interpolated from MAP.,NAD83,500,feet,12,feet,Interpolated from topographic map.,NGVD29,US,06,081,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11162630,PILARCITOS C A HALF MOON BAY CA,Stream,,18050006,27.1,sq mi,,,37.46660747000000,-122.4341420000000,24000,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,081,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11162635,FRENCHMANS C NR HALF MOON BAY CA,Stream,,18050006,4.17,sq mi,,,37.48327404000000,-122.4460870000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,081,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11162640,DENNISTON C A EL GRANADA CA,Stream,,18050006,3.67,sq mi,,,37.50966297000000,-122.4880333000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,081,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11162645,SAN VICENTE C A MOSS BEACH CA,Stream,,18050006,1.60,sq mi,,,37.52327370000000,-122.5052559000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,081,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11162655,SAN PEDRO C A PACIFICA,Stream,,18050006,7.08,sq mi,,,37.59160417000000,-122.5030317000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,081,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11162680,LAKE MERCED AT PUMPHOUSE,"Lake, Reservoir, Impoundment",,18050006,,,,,37.71715430000000,-122.4866390000000,24000,1,seconds,Interpolated from MAP.,NAD83,31.04,feet,12,feet,Level or other surveyed method.,NGVD29,US,06,075,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11162690,SAN FRANCISCO BAY A PRESIDIO MILITARY RSERV CA,Estuary,,18050002,,,,,37.80659538000000,-122.4577496000000,24000,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,075,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11162700,SAN FRANCISCO BAY A PIER 24 A SAN FRANCISCO CA,Estuary,,18050004,,,,,37.79076215000000,-122.3858040000000,24000,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,075,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11162720,COLMA C A SOUTH SAN FRANCISCO CA,Stream,,18050004,10.8,sq mi,,,37.65382296000000,-122.4263613000000,,5,seconds,Interpolated from MAP.,NAD83,12.53,feet,.01,feet,Level or other surveyed method.,NGVD29,US,06,081,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11162722,SPRUCE BRANCH A SOUTH SAN FRANCISCO CA,Stream,,18050004,0.70,sq mi,,,37.64604540000000,-122.4219169000000,,5,seconds,Interpolated from MAP.,NAD83,5.50,feet,12.,feet,Interpolated from topographic map.,NGVD29,US,06,081,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11162730,SAN ANDREAS LAKE A DAM NR MILLBRAE CA,"Lake, Reservoir, Impoundment",,18050004,4.98,sq mi,,,37.58016110000000,-122.4132806000000,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,0,feet,.16,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,06,081,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11162735,SAN MATEO C AB JUNCTION BOX A DAM1 NR HILLSBOROUGH,Stream,,18050004,2.1,sq mi,,,37.55697220000000,-122.4182500000000,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,661,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,081,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11162737,SAN MATEO C BL JUNCTION BOX A DAM1 NR HILLSBOROUGH,Stream,,18050004,2.2,sq mi,,,37.55597220000000,-122.4177222000000,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,635,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,081,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11162750,LOWER CRYSTAL SPRINGS RES NR SAN MATEO CA,"Lake, Reservoir, Impoundment",,18050004,29.8,sq mi,,,37.51527778000000,-122.3558333000000,24000,Unknown,Unknown,Differentially corrected Global Positioning System.,NAD83,0.00,feet,.07,feet,Level or other surveyed method.,NAVD88,US,06,081,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11162753,SAN MATEO C BL LO CRYSTAL SP RES NR SAN MATEO CA,Stream,,18050004,29.8,sq mi,,,37.52944444000000,-122.3583333000000,24000,1,seconds,Interpolated from MAP.,NAD83,160,feet,12.,feet,Interpolated from topographic map.,NGVD29,US,06,081,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11162765,SF BAY A SAN MATEO BRIDGE NR FOSTER CITY CA,Estuary,,18050004,,,,,37.58437876000000,-122.2508005000000,24000,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,081,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11162800,REDWOOD C A REDWOOD CITY CA,Stream,,18050004,1.82,sq mi,,,37.44938279000000,-122.2335772000000,,5,seconds,Interpolated from MAP.,NAD83,83.92,feet,10,feet,Interpolated from topographic map.,NGVD29,US,06,081,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11162900,SHARON C NR MENLO PARK CA,Stream,,18050004,0.38,sq mi,,,37.42910560000000,-122.2182991000000,,5,seconds,Interpolated from MAP.,NAD83,146.18,feet,10,feet,Interpolated from topographic map.,NGVD29,US,06,081,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11162940,SAN FRANCISQUITO C BL LADERA DAMSITE CA,Stream,,18050003,28.5,sq mi,,,37.40660625000000,-122.2041322000000,,5,seconds,Interpolated from MAP.,NAD83,177.47,feet,10,feet,Interpolated from topographic map.,NGVD29,US,06,081,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11162950,SAN FRANCISQUITO C T NR STANFORD UNIV CA,Stream,,18050003,0.24,sq mi,,,37.41188390000000,-122.1988543000000,,5,seconds,Interpolated from MAP.,NAD83,174.73,feet,10,feet,Interpolated from topographic map.,NGVD29,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11163000,LOS TRANCOS CN NR STANFORD UNIV CA,Stream,,18050003,,,,,37.38882898000000,-122.1871873000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11163200,LOS TRANCOS C TRIB NR STANFORD UNIV CA,Stream,,18050003,0.42,sq mi,,,37.40493970000000,-122.1869095000000,,5,seconds,Interpolated from MAP.,NAD83,269.13,feet,10,feet,Interpolated from topographic map.,NGVD29,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11163500,LOS TRANCOS C A STANFORD UNIV CA,Stream,,18050003,7.46,sq mi,,,37.41216170000000,-122.1941319000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11164000,LAGUNITA CN A STANFORD U CA,Stream,,18050003,,,,,37.41799490000000,-122.1885762000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11164500,SAN FRANCISQUITO C A STANFORD UNIVERSITY CA,Stream,,18050003,37.4,sq mi,,,37.42327257000000,-122.1894095000000,24000,5,seconds,Interpolated from MAP.,NAD83,112.69,feet,.16,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11165000,SAN FRANCISQUITO C A MENLO PARK CA,Stream,,18050003,38.2,sq mi,,,37.44299438000000,-122.1760759000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11165500,SAN FRANCISQUITO C A PALO ALTO CA,Stream,,18050003,40.8,sq mi,,,37.45438320000000,-122.1369083000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11166000,MATADERO C A PALO ALTO CA,Stream,,18050003,7.26,sq mi,,,37.42160620000000,-122.1355193000000,,5,seconds,Interpolated from MAP.,NAD83,17.01,feet,.01,feet,Level or other surveyed method.,NGVD29,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11166480,STEVENS C RES NR MONTE VISTA CA,"Lake, Reservoir, Impoundment",,18050003,17.3,sq mi,,,37.29855370000000,-122.0771836000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11166500,STEVENS C NR CUPERTINO CA,Stream,,18050003,18.1,sq mi,,,37.30549800000000,-122.0746836000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11166550,STEVENS C A MOUNTAIN VIEW CA,Stream,,18050003,24.5,sq mi,,,37.39500000000000,-122.0688889000000,24000,1,seconds,Interpolated from MAP.,NAD83,70,feet,2.5,feet,Interpolated from topographic map.,NGVD29,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11166575,PERMANENTE C NR MONTE VISTA CA,Stream,,18050003,3.86,sq mi,,,37.33327510000000,-122.0880176000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11166578,WF PERMANENTE C NR MONTE VISTA CA,Stream,,18050003,2.98,sq mi,,,37.33299730000000,-122.1005180000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11166655,TRIB AB JACQUES GULCH BL MEX CMP NR NEW ALM CA,Stream,,18050003,0.28,sq mi,,,37.16355704000000,-121.8466200000000,24000,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11166670,ALMADEN RES A NEW ALMADEN CA,"Lake, Reservoir, Impoundment",,18050003,12.0,sq mi,,,37.16494590000000,-121.8285637000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11166700,ARROYO CALERO TRIB NR NEW ALMADEN CA,Stream,,18050003,0.18,sq mi,,,37.17772338000000,-121.7593942000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11166710,ARROYO CALERO AB CALERO RES NR NEW ALMADEN CA,Stream,,18050003,3.14,sq mi,,,37.17716780000000,-121.7635610000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11166740,CALERO RES NR NEW ALMADEN CA,"Lake, Reservoir, Impoundment",,18050003,6.93,sq mi,,,37.18327875000000,-121.7921732000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11166900,ALAMITOS C NR NEW ALMADEN CA,Stream,,18050003,31.9,sq mi,,,37.22244434000000,-121.8510640000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11167000,ALAMITOS C NR EDENVALE CA,Stream,,18050003,34.6,sq mi,,,37.23549956000000,-121.8699535000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11167370,GUADALUPE RES NR NEW ALMADEN CA,"Lake, Reservoir, Impoundment",,18050003,5.99,sq mi,,,37.19911160000000,-121.8793987000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11167500,GUADALUPE C A GUADALUPE CA,Stream,,18050003,12.8,sq mi,,,37.21716670000000,-121.9107886000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11167572,GUADALUPE R A ALMTOS RCHG FAC AT SAN JOSE CA,Stream,,18050003,53.0,sq mi,,,37.24744369000000,-121.8699534000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11167660,ROSS C A SAN JOSE CA,Stream,,18050003,5.70,sq mi,,,37.24883260000000,-121.9135660000000,,5,seconds,Interpolated from MAP.,NAD83,204.40,feet,20,feet,Interpolated from topographic map.,NGVD29,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11167700,ROSS C BL JARVIS RD NR SAN JOSE CA,Stream,,18050003,7.71,sq mi,,,37.26327660000000,-121.8866208000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11167800,GUADALUPE R AB ALMADEN EXPRESSWAY A SAN JOSE CA,Stream,,18050003,61.8,sq mi,,,37.28077615000000,-121.8796764000000,24000,1,seconds,Interpolated from MAP.,NAD83,145,feet,2.5,feet,Interpolated from topographic map.,NGVD29,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11167950,LK ELSMAN NR LOS GATOS CA,"Lake, Reservoir, Impoundment",,18050003,9.78,sq mi,,,37.13077999000000,-121.9307905000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11167970,LOS GATOS C AB LEXINGTON RE NR LOS GATOS CA,Stream,,18050003,19.1,sq mi,,,37.16716790000000,-121.9796808000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11167980,LEXINGTON RES NR LOS GATOS CA,"Lake, Reservoir, Impoundment",,18050003,36.9,sq mi,,,37.20161157000000,-121.9891250000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11168000,LOS GATOS C A LOS GATOS CA,Stream,,18050003,39.1,sq mi,,,37.21744450000000,-121.9874581000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11168500,LOS GATOS C BL LOS GATOS CA,Stream,,18050003,42.6,sq mi,,,37.23327749000000,-121.9741240000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11168660,LOS GATOS C A LARK A AT LOS GATOS CA,Stream,,18050003,43.3,sq mi,,,37.25188815000000,-121.9644013000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11168800,LOS GATOS C A LINCOLN AVE AT SAN JOSE CA,Stream,,18050003,48.4,sq mi,,,37.31244207000000,-121.9043999000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11169000,GUADALUPE R A SAN JOSE CA,Stream,,18050003,146,sq mi,,,37.33438590000000,-121.8994000000000,,5,seconds,Interpolated from MAP.,NAD83,72.00,feet,2.5,feet,Interpolated from topographic map.,NGVD29,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11169025,GUADALUPE R ABV HWY 101 A SAN JOSE CA,Stream,,18050003,160,sq mi,,,37.37382960000000,-121.9330129000000,24000,1,seconds,Interpolated from MAP.,NAD83,17.57,feet,.01,feet,Level or other surveyed method.,NAVD88,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11169500,SARATOGA C A SARATOGA CA,Stream,,18050003,9.22,sq mi,,,37.25438808000000,-122.0394040000000,24000,5,seconds,Interpolated from MAP.,NAD83,492.09,feet,.16,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11169575,GARROD RANCH RG NR SARATOGA CA,Atmosphere,,18050003,,,,,37.27716530000000,-122.0610718000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11169580,CALABAZAS C TRIB AT MT EDEN RD NR SARATOGA CA,Stream,,18050003,0.37,sq mi,,,37.26910995000000,-122.0610717000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,085,,,,,,,,,,NWIS
